Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
59d11de8-c39b-4200-9cc1-b5c8b5a50a34,"2020-06-16, 09:43:51 PM",Reviewer,ChangePassword,,,,us-east-1,,AWS Internal
62ef4c5f-3c25-41e2-9e8c-c694234c81d7,"2020-06-16, 09:41:07 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:436447184136:trail/UdacityTestCloudTrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""UdacityTestCloudTrail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-trail""}]",,us-east-2,,71.197.182.22
a55f46c0-7646-4563-9501-edef2a49bbd8,"2020-06-16, 09:41:07 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-trail""}]",,us-east-2,,71.197.182.22
c507f901-7ea2-4fd3-9344-72ec9d594e7e,"2020-06-16, 09:41:07 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrail-udacity-trail""}]",,us-east-2,,71.197.182.22
def042bc-de00-40ca-83a6-582291fbf2ef,"2020-06-16, 09:41:07 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""UdacityTestCloudTrail""}]",,us-east-2,,71.197.182.22
f0fb813e-6d1e-42d0-b33b-1894caf66cd5,"2020-06-16, 09:41:07 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:436447184136:trail/UdacityTestCloudTrail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""UdacityTestCloudTrail""}]",,us-east-2,,71.197.182.22
3817b28f-7c31-4ff5-a2b3-6f88a6cb9905,"2020-06-16, 09:39:17 PM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
04f69d3d-1f0e-4260-990c-7e2503c6ba5c,"2020-06-16, 09:38:29 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Reviewer""}]",,us-east-1,,71.197.182.22
95a1be16-d442-4af6-b633-7cdf2313b6f2,"2020-06-16, 09:38:14 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,71.197.182.22
b67f314c-f877-40df-9d30-29537c88664f,"2020-06-16, 09:37:48 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Reviewer""}]",,us-east-1,,71.197.182.22
22783c55-a69d-4bea-941d-bc0da2aa9183,"2020-06-16, 09:37:47 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Reviewer""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,71.197.182.22
